States,District,Cities,Latitude,Longitude,Sample_Population,ISO,ISO_district,Date
"Kedah","Kubang Pasu","Sintok",6.442,100.479,4686,"MY-02","MY-02.5",2015-01-29 00:00:00
"Kedah","Kubang Pasu","Sintok",6.425,100.498,5952,"MY-02","MY-02.5",2015-01-30 00:00:00
"Kedah","Kubang Pasu","Sintok",6.467,100.538,2248,"MY-02","MY-02.5",2015-01-31 00:00:00
"Kedah","Kubang Pasu","Bukit Kayu Hitam",6.5,100.411,4091,"MY-02","MY-02.5",2015-02-01 00:00:00
"Kedah","Kubang Pasu","Bukit Kayu Hitam",6.516,100.4352,1970,"MY-02","MY-02.5",2015-02-02 00:00:00
"Kedah","Kubang Pasu","Bukit Kayu Hitam",6.5,100.228,8017,"MY-02","MY-02.5",2015-02-03 00:00:00
"Kedah","Kubang Pasu","Bukit Kayu Hitam",6.515,100.3938,6423,"MY-02","MY-02.5",2015-02-04 00:00:00
"Kedah","Kubang Pasu","Bukit Kayu Hitam",6.495,100.3983,5825,"MY-02","MY-02.5",2015-02-05 00:00:00
"Kedah","Kubang Pasu","Bukit Kayu Hitam",6.513,100.445,1539,"MY-02","MY-02.5",2015-02-06 00:00:00
"Kedah","Kulim","Kulim",5.3411,100.5649,4418,"MY-02","MY-02.6",2015-02-07 00:00:00
"Kedah","Kulim","Kulim",5.4165,100.5797,3611,"MY-02","MY-02.6",2015-02-08 00:00:00
"Kedah","Kulim","Kulim",5.309,100.5663,4755,"MY-02","MY-02.6",2015-02-09 00:00:00
"Kedah","Kulim","Kulim",5.3926,100.5367,3150,"MY-02","MY-02.6",2015-02-10 00:00:00
"Kedah","Kulim","Kulim",5.3683,100.5576,7659,"MY-02","MY-02.6",2015-02-11 00:00:00
"Kedah","Kulim","Kulim",5.3846,100.5461,5424,"MY-02","MY-02.6",2015-02-12 00:00:00
"Kedah","Kota Setar","Alor Setar",6.124,100.3684,8501,"MY-02","MY-02.3",2015-02-13 00:00:00
"Kedah","Kota Setar","Alor Setar",6.1281,100.3433,1375,"MY-02","MY-02.3",2015-02-14 00:00:00
"Kedah","Kota Setar","Alor Setar",6.1609,100.3634,6368,"MY-02","MY-02.3",2015-02-15 00:00:00
"Kedah","Kota Setar","Alor Setar",6.1205,100.3684,7770,"MY-02","MY-02.3",2015-02-16 00:00:00
"Kedah","Kota Setar","Alor Setar",6.1512,100.3475,6267,"MY-02","MY-02.3",2015-02-17 00:00:00
"Kedah","Kota Setar","Alor Setar",6.1085,100.3547,4817,"MY-02","MY-02.3",2015-02-18 00:00:00
"Kedah","Langkawi","Langkawi",6.346,99.7904,6388,"MY-02","MY-02.7",2015-02-19 00:00:00
"Kedah","Langkawi","Langkawi",6.3311,99.8313,8413,"MY-02","MY-02.7",2015-02-20 00:00:00
"Kedah","Langkawi","Langkawi",6.285,99.7472,2085,"MY-02","MY-02.7",2015-02-21 00:00:00
"Kedah","Langkawi","Langkawi",6.3918,99.7166,8808,"MY-02","MY-02.7",2015-02-22 00:00:00
"Kedah","Langkawi","Langkawi",6.3406,99.7838,7529,"MY-02","MY-02.7",2015-02-23 00:00:00
"Kedah","Langkawi","Langkawi",6.3613,99.7897,1831,"MY-02","MY-02.7",2015-02-24 00:00:00
"Kedah","Padang Terap","Kuala Nerang",6.2465,100.57771,8456,"MY-02","MY-02.8",2015-02-25 00:00:00
"Kedah","Padang Terap","Kuala Nerang",6.2692,100.6245,2514,"MY-02","MY-02.8",2015-02-26 00:00:00
"Kedah","Padang Terap","Kuala Nerang",6.1984,100.7522,7329,"MY-02","MY-02.8",2015-02-27 00:00:00
"Kedah","Padang Terap","Kuala Nerang",6.2803,100.5442,1106,"MY-02","MY-02.8",2015-02-28 00:00:00
"Kedah","Padang Terap","Kuala Nerang",6.201,100.718,8560,"MY-02","MY-02.8",2015-03-01 00:00:00
"Kedah","Padang Terap","Kuala Nerang",6.2296,100.6219,4184,"MY-02","MY-02.8",2015-03-02 00:00:00
"Kedah","Pendang","Pendang",5.9717,100.5149,6203,"MY-02","MY-02.9",2015-03-03 00:00:00
"Kedah","Pendang","Pendang",6.0218,100.481,5570,"MY-02","MY-02.9",2015-03-04 00:00:00
"Kedah","Pendang","Pendang",5.9588,100.4771,2057,"MY-02","MY-02.9",2015-03-05 00:00:00
"Kedah","Pendang","Pendang",5.9962,100.6077,6497,"MY-02","MY-02.9",2015-03-06 00:00:00
"Kedah","Pendang","Pendang",6.0255,100.5213,6688,"MY-02","MY-02.9",2015-03-07 00:00:00
"Kedah","Pendang","Pendang",6.0326,100.5413,1564,"MY-02","MY-02.9",2015-03-08 00:00:00
"Kedah","Pokok Sena","Pokok Sena",6.103,100.6163,8790,"MY-02","MY-02.10",2015-03-09 00:00:00
"Kedah","Pokok Sena","Pokok Sena",6.2139,100.5109,4816,"MY-02","MY-02.10",2015-03-10 00:00:00
"Kedah","Pokok Sena","Pokok Sena",6.1091,100.7172,7598,"MY-02","MY-02.10",2015-03-11 00:00:00
"Kedah","Pokok Sena","Pokok Sena",6.0494,100.6156,2749,"MY-02","MY-02.10",2015-03-12 00:00:00
"Kedah","Pokok Sena","Pokok Sena",6.1585,100.5013,7651,"MY-02","MY-02.10",2015-03-13 00:00:00
"Kedah","Pokok Sena","Pokok Sena",6.1176,100.6276,6042,"MY-02","MY-02.10",2015-03-14 00:00:00
"Kedah","Sik","Sik",5.9903,100.8149,6012,"MY-02","MY-02.11",2015-03-15 00:00:00
"Kedah","Sik","Sik",6.0098,100.7514,6047,"MY-02","MY-02.11",2015-03-16 00:00:00
"Kedah","Sik","Sik",5.9835,100.6944,1373,"MY-02","MY-02.11",2015-03-17 00:00:00
"Kedah","Sik","Sik",5.7513,100.726,5292,"MY-02","MY-02.11",2015-03-18 00:00:00
"Kedah","Sik","Sik",5.8261,100.7296,1672,"MY-02","MY-02.11",2015-03-19 00:00:00
"Kedah","Sik","Sik",6.0347,100.7271,6322,"MY-02","MY-02.11",2015-03-20 00:00:00
"Kedah","Yan","Yan",5.7855,100.3724,3491,"MY-02","MY-02.12",2015-03-21 00:00:00
"Kedah","Yan","Yan",5.8398,100.3849,7437,"MY-02","MY-02.12",2015-03-22 00:00:00
"Kedah","Yan","Yan",5.8398,100.4161,1002,"MY-02","MY-02.12",2015-03-23 00:00:00
"Kedah","Yan","Yan",5.8744,100.4222,3068,"MY-02","MY-02.12",2015-03-24 00:00:00
"Kedah","Yan","Yan",5.8544,100.4091,4418,"MY-02","MY-02.12",2015-03-25 00:00:00
"Kedah","Yan","Yan",5.821,100.3878,1712,"MY-02","MY-02.12",2015-03-26 00:00:00
"Perlis","Arau","Arau",6.433,100.2604,7416,"MY-09","MY-09",2015-03-27 00:00:00
"Perlis","Arau","Arau",6.4256,100.2893,5619,"MY-09","MY-09",2015-03-28 00:00:00
"Perlis","Arau","Arau",6.3906,100.2511,4482,"MY-09","MY-09",2015-03-29 00:00:00
"Perlis","Arau","Arau",6.4399,100.3308,5515,"MY-09","MY-09",2015-03-30 00:00:00
"Perlis","Arau","Arau",6.4345,100.3142,3828,"MY-09","MY-09",2015-03-31 00:00:00
"Perlis","Arau","Arau",6.4311,100.2531,1310,"MY-09","MY-09",2015-04-01 00:00:00
"Perlis","Kangar","Kangar",6.4396,100.1926,3506,"MY-09","MY-09",2015-04-02 00:00:00
"Perlis","Kangar","Kangar",6.4497,100.1981,5663,"MY-09","MY-09",2015-04-03 00:00:00
"Perlis","Kangar","Kangar",6.4465,100.203,1385,"MY-09","MY-09",2015-04-04 00:00:00
"Perlis","Kangar","Kangar",6.462,100.1685,2739,"MY-09","MY-09",2015-04-05 00:00:00
"Perlis","Kangar","Kangar",6.5106,100.2535,8276,"MY-09","MY-09",2015-04-06 00:00:00
"Perlis","Kangar","Kangar",6.4416,100.1922,7760,"MY-09","MY-09",2015-04-07 00:00:00
"Perlis","Padang Besar","Padang Besar",6.6605,100.3115,3536,"MY-09","MY-09",2015-04-08 00:00:00
"Perlis","Padang Besar","Padang Besar",6.6999,100.2097,8435,"MY-09","MY-09",2015-04-09 00:00:00
"Perlis","Padang Besar","Padang Besar",6.6551,100.2802,4026,"MY-09","MY-09",2015-04-10 00:00:00
"Perlis","Padang Besar","Padang Besar",6.6624,100.2852,2966,"MY-09","MY-09",2015-04-11 00:00:00
"Perlis","Padang Besar","Padang Besar",6.6325,100.2721,6267,"MY-09","MY-09",2015-04-12 00:00:00
"Perlis","Padang Besar","Padang Besar",6.6543,100.2545,1192,"MY-09","MY-09",2015-04-13 00:00:00
"Perlis","Kuala Perlis","Kuala Perlis",6.3968,100.1296,6439,"MY-09","MY-09",2015-04-14 00:00:00
"Perlis","Kuala Perlis","Kuala Perlis",6.4056,100.1464,7002,"MY-09","MY-09",2015-04-15 00:00:00
"Perlis","Kuala Perlis","Kuala Perlis",6.4151,100.1492,5532,"MY-09","MY-09",2015-04-16 00:00:00
"Perlis","Kuala Perlis","Kuala Perlis",6.3919,100.1603,6762,"MY-09","MY-09",2015-04-17 00:00:00
"Perlis","Kuala Perlis","Kuala Perlis",6.3865,100.1469,8453,"MY-09","MY-09",2015-04-18 00:00:00
"Perlis","Kuala Perlis","Kuala Perlis",6.4072,100.1491,2192,"MY-09","MY-09",2015-04-19 00:00:00
"Perak","Batang Padang","Tapah",4.1963,101.2591,6895,"MY-08","MY-08.1",2015-04-20 00:00:00
"Perak","Batang Padang","Tapah",4.1898,101.2617,6842,"MY-08","MY-08.1",2015-04-21 00:00:00
"Perak","Batang Padang","Tapah",4.2088,101.2566,4024,"MY-08","MY-08.1",2015-04-22 00:00:00
"Perak","Batang Padang","Tapah",4.1887,101.2652,2666,"MY-08","MY-08.1",2015-04-23 00:00:00
"Perak","Batang Padang","Tapah",4.2124,101.2381,4514,"MY-08","MY-08.1",2015-04-24 00:00:00
"Perak","Batang Padang","Tapah",4.2141,101.2914,1652,"MY-08","MY-08.1",2015-04-25 00:00:00
"Perak","Hilir Perak","Teluk Intan",4.0183,101.0063,6745,"MY-08","MY-08.2",2015-04-26 00:00:00
"Perak","Hilir Perak","Teluk Intan",4.0486,101.0312,3815,"MY-08","MY-08.2",2015-04-27 00:00:00
"Perak","Hilir Perak","Teluk Intan",3.9979,101.015,4636,"MY-08","MY-08.2",2015-04-28 00:00:00
"Perak","Hilir Perak","Teluk Intan",4.003,101.0362,5999,"MY-08","MY-08.2",2015-04-29 00:00:00
"Perak","Hilir Perak","Teluk Intan",4.0796,100.9675,4406,"MY-08","MY-08.2",2015-04-30 00:00:00
"Perak","Hilir Perak","Teluk Intan",4.0536,101.047,8676,"MY-08","MY-08.2",2015-05-01 00:00:00
"Perak","Hulu Perak","Gerik",5.4456,101.1119,2847,"MY-08","MY-08.3",2015-05-02 00:00:00
"Perak","Hulu Perak","Gerik",5.4763,101.1772,4194,"MY-08","MY-08.3",2015-05-03 00:00:00
"Perak","Hulu Perak","Lenggong",5.171,100.928,3995,"MY-08","MY-08.3",2015-05-04 00:00:00
"Perak","Hulu Perak","Lenggong",5.1013,100.971,2400,"MY-08","MY-08.3",2015-05-05 00:00:00
"Perak","Hulu Perak","Lenggong",5.1382,100.9667,8089,"MY-08","MY-08.3",2015-05-06 00:00:00
"Perak","Hulu Perak","Lenggong",5,100.97,7833,"MY-08","MY-08.3",2015-05-07 00:00:00
"Perak","Hulu Perak","Lenggong",5.282,101.03,2632,"MY-08","MY-08.3",2015-05-08 00:00:00
"Perak","Hulu Perak","Lenggong",5.309,101.113,8818,"MY-08","MY-08.3",2015-05-09 00:00:00
"Perak","Hulu Perak","Gerik",5.3902,101.1826,2947,"MY-08","MY-08.3",2015-05-10 00:00:00
"Perak","Hulu Perak","Gerik",5.3601,101.1469,4878,"MY-08","MY-08.3",2015-05-11 00:00:00
"Perak","Hulu Perak","Gerik",5.4928,101.149,8010,"MY-08","MY-08.3",2015-05-12 00:00:00
"Perak","Hulu Perak","Gerik",5.3848,101.1092,1393,"MY-08","MY-08.3",2015-05-13 00:00:00
"Perak","Kampar","Kampar",4.2006,101.1533,3038,"MY-08","MY-08.4",2015-05-14 00:00:00
"Perak","Kampar","Kampar",4.3239,101.1437,8408,"MY-08","MY-08.4",2015-05-15 00:00:00
"Perak","Kampar","Kampar",4.2862,101.145,5517,"MY-08","MY-08.4",2015-05-16 00:00:00
"Perak","Kampar","Kampar",4.2417,101.1396,5695,"MY-08","MY-08.4",2015-05-17 00:00:00
"Perak","Kampar","Kampar",4.2707,101.1338,7026,"MY-08","MY-08.4",2015-05-18 00:00:00
"Perak","Kampar","Kampar",4.3144,101.142,4420,"MY-08","MY-08.4",2015-05-19 00:00:00
"Perak","Kerian","Parit Buntar",5.1251,100.4892,3884,"MY-08","MY-08.5",2015-05-20 00:00:00
"Perak","Kerian","Parit Buntar",5.1149,100.477,2576,"MY-08","MY-08.5",2015-05-21 00:00:00
"Perak","Kerian","Parit Buntar",5.1057,100.489,3374,"MY-08","MY-08.5",2015-05-22 00:00:00
"Perak","Kerian","Parit Buntar",5.1169,100.4626,7485,"MY-08","MY-08.5",2015-05-23 00:00:00
"Perak","Kerian","Parit Buntar",5.1078,100.4891,4233,"MY-08","MY-08.5",2015-05-24 00:00:00
"Perak","Kerian","Parit Buntar",5.1281,100.4831,7169,"MY-08","MY-08.5",2015-05-25 00:00:00
"Perak","Kinta","Ipoh",4.628,101.0969,3501,"MY-08","MY-08.6",2015-05-26 00:00:00
"Perak","Kinta","Ipoh",4.6654,101.095,1559,"MY-08","MY-08.6",2015-05-27 00:00:00
"Perak","Kinta","Ipoh",4.5977,101.1074,8007,"MY-08","MY-08.6",2015-05-28 00:00:00
"Perak","Kinta","Ipoh",4.6517,101.0727,3803,"MY-08","MY-08.6",2015-05-29 00:00:00
"Perak","Kinta","Ipoh",4.6227,101.0675,1271,"MY-08","MY-08.6",2015-05-30 00:00:00
"Perak","Kinta","Ipoh",4.5969,101.0753,1570,"MY-08","MY-08.6",2015-05-31 00:00:00
"Perak","Kuala Kangsar","Kuala Kangsar",4.7668,100.9476,8610,"MY-08","MY-08.7",2015-06-01 00:00:00
"Perak","Kuala Kangsar","Kuala Kangsar",4.7701,100.9311,8187,"MY-08","MY-08.7",2015-06-02 00:00:00
"Perak","Kuala Kangsar","Kuala Kangsar",4.7821,100.9343,1086,"MY-08","MY-08.7",2015-06-03 00:00:00
"Perak","Kuala Kangsar","Kuala Kangsar",4.7704,100.916,4878,"MY-08","MY-08.7",2015-06-04 00:00:00
"Perak","Kuala Kangsar","Kuala Kangsar",4.7501,100.9336,5057,"MY-08","MY-08.7",2015-06-05 00:00:00
"Perak","Kuala Kangsar","Kuala Kangsar",4.7873,100.956,8074,"MY-08","MY-08.7",2015-06-06 00:00:00
"Perak","Larut","Matang & Selama","Taiping",4.8495,5421,"MY-08","MY-08.8",2015-06-07 00:00:00
"Perak","Larut","Matang & Selama","Taiping",4.8584,6784,"MY-08","MY-08.8",2015-06-08 00:00:00
"Perak","Larut","Matang & Selama","Taiping",4.8533,5078,"MY-08","MY-08.8",2015-06-09 00:00:00
"Perak","Larut","Matang & Selama","Taiping",4.8636,2651,"MY-08","MY-08.8",2015-06-10 00:00:00
"Perak","Larut","Matang & Selama","Taiping",4.8849,4004,"MY-08","MY-08.8",2015-06-11 00:00:00
"Perak","Larut","Matang & Selama","Taiping",4.8434,5286,"MY-08","MY-08.8",2015-06-12 00:00:00
"Perak","Manjung","Seri Manjung",4.1809,100.6397,6651,"MY-08","MY-08.9",2015-06-13 00:00:00
"Perak","Manjung","Seri Manjung",4.1962,100.6646,6893,"MY-08","MY-08.9",2015-06-14 00:00:00
"Perak","Manjung","Seri Manjung",4.2144,100.6685,6793,"MY-08","MY-08.9",2015-06-15 00:00:00
"Perak","Manjung","Seri Manjung",4.1845,100.6643,1647,"MY-08","MY-08.9",2015-06-16 00:00:00
"Perak","Manjung","Seri Manjung",4.2197,100.6703,8616,"MY-08","MY-08.9",2015-06-17 00:00:00
"Perak","Manjung","Seri Manjung",4.1924,100.6569,7102,"MY-08","MY-08.9",2015-06-18 00:00:00
"Perak","Perak Tengah","Seri Iskandar",4.3657,100.9592,5989,"MY-08","MY-08.10",2015-06-25 00:00:00
"Perak","Perak Tengah","Seri Iskandar",4.3533,100.961,2612,"MY-08","MY-08.10",2015-06-26 00:00:00
"Perak","Perak Tengah","Seri Iskandar",4.3637,100.9811,6176,"MY-08","MY-08.10",2015-06-27 00:00:00
"Perak","Perak Tengah","Seri Iskandar",4.3684,100.9589,7191,"MY-08","MY-08.10",2015-06-28 00:00:00
"Perak","Perak Tengah","Seri Iskandar",4.3646,100.9834,3024,"MY-08","MY-08.10",2015-06-29 00:00:00
"Perak","Perak Tengah","Seri Iskandar",4.366,100.9546,5858,"MY-08","MY-08.10",2015-06-30 00:00:00
"Penang","Barat Daya Pulau Pinang","Balik Pulau",5.3765,100.2203,2315,"MY-07","MY-07.1",2015-07-01 00:00:00
"Penang","Barat Daya Pulau Pinang","Balik Pulau",5.3593,100.2107,2158,"MY-07","MY-07.1",2015-07-02 00:00:00
"Penang","Barat Daya Pulau Pinang","Balik Pulau",5.3404,100.2368,1721,"MY-07","MY-07.1",2015-07-03 00:00:00
"Penang","Barat Daya Pulau Pinang","Balik Pulau",5.3346,100.2282,1235,"MY-07","MY-07.1",2015-07-04 00:00:00
"Penang","Barat Daya Pulau Pinang","Balik Pulau",5.3415,100.2141,6561,"MY-07","MY-07.1",2015-07-05 00:00:00
"Penang","Barat Daya Pulau Pinang","Balik Pulau",5.3494,100.2327,8769,"MY-07","MY-07.1",2015-07-06 00:00:00
"Penang","Seberang Perai Selatan","Sungai Jawi",5.2625,100.5106,1253,"MY-07","MY-07.2",2015-07-07 00:00:00
"Penang","Seberang Perai Selatan","Sungai Jawi",5.1819,100.481,2594,"MY-07","MY-07.2",2015-07-08 00:00:00
"Penang","Seberang Perai Selatan","Sungai Jawi",5.1538,100.4831,7035,"MY-07","MY-07.2",2015-07-09 00:00:00
"Penang","Seberang Perai Selatan","Sungai Jawi",5.2673,100.4522,8453,"MY-07","MY-07.2",2015-07-10 00:00:00
"Penang","Seberang Perai Selatan","Sungai Jawi",5.2347,100.5085,6123,"MY-07","MY-07.2",2015-07-11 00:00:00
"Penang","Seberang Perai Selatan","Sungai Jawi",5.2759,100.4831,1734,"MY-07","MY-07.2",2015-07-12 00:00:00
"Penang","Seberang Perai Tengah","Bukit Mertajam",5.3486,100.4835,8303,"MY-07","MY-07.3",2015-07-13 00:00:00
"Penang","Seberang Perai Tengah","Bukit Mertajam",5.3749,100.4667,2141,"MY-07","MY-07.3",2015-07-14 00:00:00
"Penang","Seberang Perai Tengah","Bukit Mertajam",5.3739,100.4214,5042,"MY-07","MY-07.3",2015-07-15 00:00:00
"Penang","Seberang Perai Tengah","Bukit Mertajam",5.341,100.5134,5278,"MY-07","MY-07.3",2015-07-16 00:00:00
"Penang","Seberang Perai Tengah","Bukit Mertajam",5.3656,100.4466,5973,"MY-07","MY-07.3",2015-07-17 00:00:00
"Penang","Seberang Perai Tengah","Bukit Mertajam",5.3594,100.4634,6365,"MY-07","MY-07.3",2015-07-18 00:00:00
"Penang","Seberang Perai Utara","Kepala Batas",5.517,100.4488,5131,"MY-07","MY-07.4",2015-07-19 00:00:00
"Penang","Seberang Perai Utara","Kepala Batas",5.5351,100.4649,1080,"MY-07","MY-07.4",2015-07-20 00:00:00
"Penang","Seberang Perai Utara","Kepala Batas",5.5023,100.4464,3133,"MY-07","MY-07.4",2015-07-21 00:00:00
"Penang","Seberang Perai Utara","Kepala Batas",5.4777,100.4389,3910,"MY-07","MY-07.4",2015-07-22 00:00:00
"Penang","Seberang Perai Utara","Kepala Batas",5.5261,100.465,1811,"MY-07","MY-07.4",2015-07-23 00:00:00
"Penang","Seberang Perai Utara","Kepala Batas",5.5149,100.434,3155,"MY-07","MY-07.4",2015-07-24 00:00:00
"Penang","Timur Laut Pulau Pinang","George Town",5.4271,100.3056,4450,"MY-07","MY-07.5",2015-07-25 00:00:00
"Penang","Timur Laut Pulau Pinang","George Town",5.3977,100.3018,1704,"MY-07","MY-07.5",2015-07-26 00:00:00
"Penang","Timur Laut Pulau Pinang","George Town",5.4182,100.3276,2577,"MY-07","MY-07.5",2015-07-27 00:00:00
"Penang","Timur Laut Pulau Pinang","George Town",5.3844,100.3046,8161,"MY-07","MY-07.5",2015-07-28 00:00:00
"Penang","Timur Laut Pulau Pinang","George Town",5.4178,100.3204,5130,"MY-07","MY-07.5",2015-07-29 00:00:00
"Penang","Timur Laut Pulau Pinang","George Town",5.4145,100.3129,2539,"MY-07","MY-07.5",2015-07-30 00:00:00
"Selangor","Gombak","Rawang",3.3004,101.6403,7898,"MY-10","MY-10.1",2015-07-31 00:00:00
"Selangor","Gombak","Rawang",3.2826,101.5263,1757,"MY-10","MY-10.1",2015-08-01 00:00:00
"Selangor","Gombak","Rawang",3.2394,101.5407,3599,"MY-10","MY-10.1",2015-08-02 00:00:00
"Selangor","Gombak","Rawang",3.2638,101.6843,4521,"MY-10","MY-10.1",2015-08-03 00:00:00
"Selangor","Gombak","Rawang",3.3192,101.5745,4463,"MY-10","MY-10.1",2015-08-04 00:00:00
"Selangor","Hulu Langat","Hulu Langat",3.1997,101.8567,6249,"MY-10","MY-10.2",2015-08-05 00:00:00
"Selangor","Hulu Langat","Hulu Langat",3.1593,101.8911,1274,"MY-10","MY-10.2",2015-08-06 00:00:00
"Selangor","Hulu Langat","Hulu Langat",3.1284,101.8279,5096,"MY-10","MY-10.2",2015-08-07 00:00:00
"Selangor","Hulu Langat","Hulu Langat",3.0904,101.7935,2701,"MY-10","MY-10.2",2015-08-08 00:00:00
"Selangor","Hulu Langat","Hulu Langat",3.1355,101.8349,4255,"MY-10","MY-10.2",2015-08-09 00:00:00
"Selangor","Hulu Selangor","Kuala Kubu Baru",3.5617,101.6572,5256,"MY-10","MY-10.3",2015-08-10 00:00:00
"Selangor","Hulu Selangor","Kuala Kubu Baru",3.5621,101.6588,6697,"MY-10","MY-10.3",2015-08-11 00:00:00
"Selangor","Hulu Selangor","Kuala Kubu Baru",3.5635,101.6607,6424,"MY-10","MY-10.3",2015-08-12 00:00:00
"Selangor","Hulu Selangor","Kuala Kubu Baru",3.5628,101.656,4760,"MY-10","MY-10.3",2015-08-13 00:00:00
"Selangor","Hulu Selangor","Kuala Kubu Baru",3.5736,101.6729,8633,"MY-10","MY-10.3",2015-08-14 00:00:00
"Selangor","Klang","Klang",3.0239,101.4591,2329,"MY-10","MY-10.4",2015-08-15 00:00:00
"Selangor","Klang","Klang",3.0426,101.4208,2350,"MY-10","MY-10.4",2015-08-16 00:00:00
"Selangor","Klang","Klang",3.0534,101.4678,8152,"MY-10","MY-10.4",2015-08-17 00:00:00
"Selangor","Klang","Klang",3.0693,101.4247,4589,"MY-10","MY-10.4",2015-08-18 00:00:00
"Selangor","Klang","Klang",3.0453,101.4449,6073,"MY-10","MY-10.4",2015-08-19 00:00:00
"Selangor","Kuala Langat","Banting",2.8002,101.501,6145,"MY-10","MY-10.5",2015-08-20 00:00:00
"Selangor","Kuala Langat","Banting",2.8866,101.5449,8467,"MY-10","MY-10.5",2015-08-21 00:00:00
"Selangor","Kuala Langat","Banting",2.936,101.4941,8484,"MY-10","MY-10.5",2015-08-22 00:00:00
"Selangor","Kuala Langat","Banting",2.877,101.3142,6608,"MY-10","MY-10.5",2015-08-23 00:00:00
"Selangor","Kuala Langat","Banting",2.815,101.5061,7539,"MY-10","MY-10.5",2015-08-24 00:00:00
"Selangor","Kuala Selangor","Kuala Selangor",3.3494,101.2847,6420,"MY-10","MY-10.6",2015-08-25 00:00:00
"Selangor","Kuala Selangor","Kuala Selangor",3.3574,101.3154,4122,"MY-10","MY-10.6",2015-08-26 00:00:00
"Selangor","Kuala Selangor","Kuala Selangor",3.3355,101.2976,4555,"MY-10","MY-10.6",2015-08-27 00:00:00
"Selangor","Kuala Selangor","Kuala Selangor",3.3884,101.2557,2675,"MY-10","MY-10.6",2015-08-28 00:00:00
"Selangor","Kuala Selangor","Kuala Selangor",3.3322,101.2501,2508,"MY-10","MY-10.6",2015-08-29 00:00:00
"Selangor","Petaling","Shah Alam",3.1061,101.56,8782,"MY-10","MY-10.7",2015-08-30 00:00:00
"Selangor","Petaling","Shah Alam",3.1349,101.5051,2636,"MY-10","MY-10.7",2015-08-31 00:00:00
"Selangor","Petaling","Shah Alam",3.0046,101.5669,3119,"MY-10","MY-10.7",2015-09-01 00:00:00
